Componente,URLs
SCC 115,"https://untref.edu.ar/mundountref/alianza-entre-la-untref-y-el-club-de-amigos, https://untref.edu.ar/mundountref/untref-voley-debuto-en-el-microestadio-de-la-universidad"
SCC 116,"https://untref.edu.ar/instituto/edcu-de-estudios-sobre-diversidad-cultural, https://untref.edu.ar/posgrados/estudios-afroamericanos/"
SCC 117,"https://untref.edu.ar/mundountref/foro-para-pensar-actividad-productiva-post-pandemia, https://untref.edu.ar/sitios/cidem/"
SCC 118,"https://untref.edu.ar/muntref/es/muestras/baile-circular, https://untref.edu.ar/muntref/es/muestras/baile-circular/iq3b6786-copia/, https://untref.edu.ar/muntref/es/muestras/baile-circular/iq3b6328-copia/"
SCC 119,"https://untref.edu.ar/mundountref/tags/reconocimientos, https://untref.edu.ar/mundountref/plan-fines-70-estudiantes-terminaron-secundaria, https://untref.edu.ar/mundountref/tags/realidad-virtual, https://untref.edu.ar/mundountref/un3-en-canneseries-los-mentirosos, https://untref.edu.ar/mundountref/hockey-sobre-cesped-untref, https://untref.edu.ar/mundountref/incaa-tiempo-libre-un3"
SCC 120,"https://untref.edu.ar/mundountref/en-la-colacion-de-grado-y-posgrado-martin-kaufmann-llamo-a-defender-la-universidad-publica, https://untref.edu.ar/posgrado/especializacioon-en-direccion-y-gestion-de-proyectos, https://untref.edu.ar/posgrado/maestria-en-creacion-musical-nuevas-tecnologias-y-artes-tradicionales, https://untref.edu.ar/mundountref/cat/comunidad, https://untref.edu.ar/mundountref/natacion-campeon-adau, https://untref.edu.ar/mundountref/untref-voley-bicampeon-copa-desafio, https://untref.edu.ar/mundountref/tags/salud, https://untref.edu.ar/mundountref/jornada-de-donacion-de-sangre-para-el-hospital-garrahan, https://untref.edu.ar/mundountref/mujeres-grupo-mas-afectado-pandemia, https://untref.edu.ar/mundountref/tags/deportes, https://untref.edu.ar/mundountref/jur-2018-finales, https://untref.edu.ar/mundountref/untref-corre, https://untref.edu.ar/mundountref/tags/diplomaturas, https://untref.edu.ar/mundountref/diplomatura-organizacion-eventos-juan-manuel-lamberti, https://untref.edu.ar/mundountref/inscripcion-diplomatura-2021, https://untref.edu.ar/mundountref/untref-voley-liga-argentina-voley, https://untref.edu.ar/mundountref/tags/rugby, https://untref.edu.ar/mundountref/tags/psicomotricidad, https://untref.edu.ar/mundountref/conferencia-completa-de-alfredo-jerusalinsky, https://untref.edu.ar/mundountref/tags/natacion, https://untref.edu.ar/mundountref/tips-manos-limpias, https://untref.edu.ar/mundountref/proyectos-lucha-contra-covid-19, https://untref.edu.ar/mundountref/tags/sociedad, https://untref.edu.ar/mundountref/los-buenos-oficios-de-la-genetica, https://untref.edu.ar/mundountref/desigualdad-clases-sociales-ceipsu, https://untref.edu.ar/mundountref/tags/becas, https://untref.edu.ar/mundountref/museos-inclusivos-muntref-congreso-internacional, https://untref.edu.ar/mundountref/baja-edad-imputabilidad-debate-vigente, https://untref.edu.ar/mundountref/el-equipo-profesional-de-voley-comienza-un-nuevo-desafio, https://untref.edu.ar/mundountref/jur-untref, https://untref.edu.ar/mundountref/sports-mediathon-2018, https://untref.edu.ar/mundountref/podcast-comunidad-episodio-10-rita-cosentino-cidem, https://untref.edu.ar/mundountref/mas-de-1500-personas-participaron-de-una-nueva-edicion-de-untref-corre, https://untref.edu.ar/mundountref/estas-listo-para-la-carrera-de-la-universidad, https://untref.edu.ar/mundountref/cat/institucional, https://untref.edu.ar/mundountref/formateate-racismo-violencia-policial, https://untref.edu.ar/mundountref/los-clementes-equipo-rugby-untref, https://untref.edu.ar/mundountref/final-abierto-voley-microestadio, https://untref.edu.ar/mundountref/tags/bienalsur, https://untref.edu.ar/mundountref/mas-de-100-docentes-de-educacion-fisica-se-capacitaron-en-la-universidad, https://untref.edu.ar/mundountref/arranque-positivo-para-la-untref, https://untref.edu.ar/mundountref/victoria-ferrari-periodismo-documental, https://untref.edu.ar/posgrado/maestria-en-sociologia-politica-internacional, https://untref.edu.ar/carrera/artes-del-circo"
SCC 121,"https://untref.edu.ar/mundountref/charla-censos-estadisticas, https://untref.edu.ar/mundountref/tags/visitas"
SCC 122,"https://untref.edu.ar/sitios/mgaie/curso-extracurricular-calidad-estadistica-en-salud/, https://untref.edu.ar/sitios/mgaie/novedades/como-nos-preparamos-para-los-desafios-del-futuro-censo-de-poblacion-051219/"
SCC 123,"https://untref.edu.ar/muntref/en/noticias/muntref-unique-virtual-tours-in-the-region/, https://untref.edu.ar/muntref/en/location, https://untref.edu.ar/muntref/en/noticias/in-march-muntref-will-present-exhibitions-focused-on-ecofeminism-memory-and-native-peoples/"
SCC 124,"https://untref.edu.ar/sitios/gac/publicaciones/artes-e-industrias-culturales-compilador-oscar-moreno/, https://untref.edu.ar/sitios/gac/categoria-publicaciones/general/"
SCC 125,"https://untref.edu.ar/mundountref/untref-voley-derrota-a-river-plate, https://untref.edu.ar/mundountref/untref-voley-local-ciudad-bolivar"
SCC 126,"https://untref.edu.ar/mundountref/estudiantes-enfermeria-covid-19, https://untref.edu.ar/mundountref/administracion-empresas-universidad"
SCC 127,"https://untref.edu.ar/mundountref/conoce-carreras-untref-ingresantes, https://untref.edu.ar/mundountref/ministerio-salud-provincial-120-ecocamas"
SCC 128,"https://untref.edu.ar/mundountref/ancestras-mural-genero-memoria, https://untref.edu.ar/mundountref/centro-intercambio-acustica-sonido"
SCC 129,https://untref.edu.ar/mundountref/deportes-voley-solidario
SCC 130,https://untref.edu.ar/index.php/;taxonomy/browse/35
SCC 131,"https://untref.edu.ar/mundountref/ermitanos-untref-media, https://untref.edu.ar/mundountref/untref-media-amnistia-internacional-podcast-derechos-humanos-spotify"
SCC 132,"https://untref.edu.ar/muntref/es/muestras/marie-orensanz-el-fluir-del-pensamiento/, https://untref.edu.ar/muntref/es/muestras/marie-orensanz-el-fluir-del-pensamiento/re100451/"
SCC 133,"https://untref.edu.ar/mundountref/psicomotricidad-comprender-nuevos-lazos-familiares, https://untref.edu.ar/mundountref/inauguracion-muntref-arte-contemporaneo"
SCC 134,"https://untref.edu.ar/muntref/es/recorridos-virtuales/, https://untref.edu.ar/muntref/recorridos/deira/, https://untref.edu.ar/muntref/recorridos/noe/"
SCC 135,"https://untref.edu.ar/mundountref/rosario-sede-activa-de-la-bienalsur, https://untref.edu.ar/mundountref/tags/curaduria"
SCC 136,"https://untref.edu.ar/mundountref/convenio-untref-montfort-university, https://untref.edu.ar/mundountref/arte-sonoro-jose-candela-cielo-vargas"
SCC 137,"https://untref.edu.ar/mundountref/Encuesta-calidad-vida-mujeres, https://untref.edu.ar/mundountref/la-industria-metalmecanica-predomina-en-tres-de-febrero"
SCC 138,"https://untref.edu.ar/muntref/es/muestras/nueva-muestra-instancias-en-muntref-museo-de-artes-visuales, https://untref.edu.ar/muntref/es/muestras/nueva-muestra-instancias-en-muntref-museo-de-artes-visuales/deazkuejavier_seriest_2017_1-2/"
SCC 139,"https://untref.edu.ar/muntref/es/arte-y-ciencia, https://untref.edu.ar/muntref/es/muestras/sierva-tecnociencia-al-servicio-de-aberracion-opticas/"
SCC 140,"https://untref.edu.ar/mundountref/introduccion-teoria-judith-butler, https://untref.edu.ar/mundountref/lina-meruane-genero"
SCC 141,"https://untref.edu.ar/mundountref/foro-interuniversitario-tango-especialistas, https://untref.edu.ar/mundountref/foro-interuniversitario-tango-argentino"
SCC 142,https://untref.edu.ar/muntref/horizontes-de-sal-alejandra-isler-2/
SCC 143,"https://untref.edu.ar/muntref/es/muestras/no-digas-que-no-se-atrapar-el-viento-de-claudia-coca, https://untref.edu.ar/muntref/es/muestras/la-relacion-entre-los-seres-humanos-y-la-naturaleza-a-traves-del-arte/claudia-coca_no-digas-que-no-se-atrapar-el-viento_6/"
SCC 144,https://untref.edu.ar/llamado-a-concurso-cerrado-de-oposicion-y-antecedentes-para-cubrir-cargos-del-personal-no-docente
SCC 145,"https://untref.edu.ar/normativa-institucional, https://untref.edu.ar/programa-de-estudios-posdoctorales"
SCC 146,https://untref.edu.ar/mundountref/cercania-geografica-y-prestigio-profesional-las-claves-en-una-nueva-entrega-de-diplomas
SCC 147,"https://untref.edu.ar/mundountref/turn-proyecto-costumbres-ancestrales-comunidades-bienalsur, https://untref.edu.ar/muntref/museo-de-artes-visuales/"
SCC 148,"https://untref.edu.ar/mundountref/tags/tecnologia, https://untref.edu.ar/mundountref/innova-revista-ciencia-tecnologia, https://untref.edu.ar/mundountref/acceso-archivos-visibilizacion-diversidad-sexual, https://untref.edu.ar/mundountref/charlas-ciencia-de-datos"
SCC 149,"https://untref.edu.ar/untref37/index.php/mundountref/en-la-colacion-de-grado-y-posgrado-martin-kaufmann-llamo-a-defender-la-universidad-publica, https://untref.edu.ar/untref37/index.php/mundountref/piscitelli-la-danza-de-la-economia-regenerativa-necesita-que-naturaleza-y-tecnologia-vayan-juntas"
SCC 150,"https://untref.edu.ar/muntref/es/muestras/muestra-de-ali-kazma-en-el-muntref-centro-de-arte-contemporaneo, https://untref.edu.ar/muntref/es/muestras/muestra-de-ali-kazma-en-el-muntref-centro-de-arte-contemporaneo/ak_16/"
SCC 151,"https://untref.edu.ar/mundountref/andres-gribnicow-gestion-arte-y-la-cultura, https://untref.edu.ar/mundountref/tags/arte, https://untref.edu.ar/mundountref/festival-enlaces, https://untref.edu.ar/mundountref/bienalsur-en-paraguay, https://untref.edu.ar/mundountref/jornadas-gestion-cultural, https://untref.edu.ar/mundountref/inauguracion-bim, https://untref.edu.ar/mundountref/tags/cuerpo-de-obra, https://untref.edu.ar/mundountref/cuerpo-de-obra-gabriela-golder-arte-visual, https://untref.edu.ar/mundountref/montevideo-primer-encuentro-bienalsur, https://untref.edu.ar/mundountref/sonorama-en-el-ciclo-de-conciertos-para-ensambles, https://untref.edu.ar/mundountref/el-km-0-sera-el-faro-de-la-bienalsur, https://untref.edu.ar/mundountref/la-delio-valdez-estuvo-en-el-xirgu-espacio-untref, https://untref.edu.ar/mundountref/en-bienalsur-la-moda-y-el-arte-comprometido-van-de-la-mano, https://untref.edu.ar/mundountref/bienalsur-2019-sigue-su-recorrido-por-el-pais-y-desembarca-en-brasil-y-suiza"
SCC 152,"https://untref.edu.ar/index.php/;digitalobject/list, https://untref.edu.ar/untref37/index.php/mundountref/daniel-link-la-inteligencia-artificial-carece-de-imaginacion"
SCC 153,"https://untref.edu.ar/mundountref/la-comunidad-untref-exhibio-sus-proyectos-en-la-3a-edicion-del-tanque-de-ideas, https://untref.edu.ar/sitios/cidem/emprendedores.html"
SCC 154,https://untref.edu.ar/mundountref/maestria-en-periodismo-documental-internacional
SCC 155,"https://untref.edu.ar/mundountref/la-untref-y-el-cresur-de-mexico-lanzan-una-diplomatura-sobre-descolonizacion-de-la-educacion, https://untref.edu.ar/mundountref/diplomatura-superior-america-latina-contemporanea"
SCC 156,"https://untref.edu.ar/mundountref/oportunidad-empresarial-alumnos, https://untref.edu.ar/mundountref/llega-paka-data-noticiero-para-chicos"
SCC 157,https://untref.edu.ar/muntref/05786jimenasalvatierra_37/
SCC 158,"https://untref.edu.ar/sitios/mgaie/noticias/page/2/, https://untref.edu.ar/sitios/mgaie/1411-como-conformar-grupos-heterogeneos-entre-si/"
SCC 159,https://untref.edu.ar/muntref/mnf00447_mauro-franceschetti_inauguracion-hogar-dulce-hogar-caseros-ii_april-28-2018/
SCC 160,https://untref.edu.ar/mundountref/realidad-virtual-y-360-en-doc-buenos-aires
SCC 161,https://untref.edu.ar/events/i-jornadas-internacionales-de-estudios-sobre-fotografia-2
SCC 162,"https://untref.edu.ar/muntref/en/noticias/the-center-for-art-and-nature-ideas-laboratory/, https://untref.edu.ar/muntref/en/noticias/international-open-call-towards-bienalsur-2023/"
SCC 163,"https://untref.edu.ar/sitios/mgaie/plan-de-estudios/, https://untref.edu.ar/sitios/mgaie/novedades/xlviii-coloquio-argentino-de-estadistica-que-se-llevara-a-cabo-entre-el-27-y-30-de-octubre-de-2020/"
SCC 164,"https://untref.edu.ar/muntref/05786jimenasalvatierra_83/, https://untref.edu.ar/muntref/es/virtual-tours"
SCC 165,https://untref.edu.ar/mundountref/muestras-bienalsur-europa-latinoamerica
SCC 166,"https://untref.edu.ar/mundountref/leo-sujatovich-lanzo-su-nuevo-disco-en-el-teatro-xirgu, https://untref.edu.ar/mundountref/un3-presenta-soledad-villamil-xirgu"
SCC 167,"https://untref.edu.ar/muntref, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/copia-de-img_5456/, https://untref.edu.ar/muntref/es/muestras/analisis-y-representacion-sensible-de-datos-ayrsd/copia-de-foto1/"
SCC 168,https://untref.edu.ar/mundountref/victoria-untref-ciudad-voley
SCC 169,https://untref.edu.ar/muntref/05786jimenasalvatierra_100/
SCC 170,"https://untref.edu.ar/muntref/es/acerca-de-muntref, https://untref.edu.ar/muntref/es/museo-de-artes-visuales"
SCC 171,https://untref.edu.ar/mundountref/marcelo-bergman-no-hay-recetas-universales-para-atacar-al-delito-y-la-criminalidad
SCC 172,"https://untref.edu.ar/sitios/enlaces/seccion/objetivos/, https://untref.edu.ar/sitios/enlaces/seccion/participantes/"
SCC 173,"https://untref.edu.ar/mundountref/informe-cistas-ruido, https://untref.edu.ar/mundountref/desarrollo-workshow-2017"
SCC 174,https://untref.edu.ar/muntref/es/
SCC 175,"https://untref.edu.ar/mundountref/comunidad-bruno-villafane, https://untref.edu.ar/mundountref/Maricela-cuello-licenciatura-en-estadistica"
SCC 176,https://untref.edu.ar/muntref/xyzjorge-macchiruleman-irina-kirchuk/
SCC 177,"https://untref.edu.ar/mundountref/escritura-creativa-premios, https://untref.edu.ar/mundountref/programa-nexos-untref-secundario"
SCC 178,"https://untref.edu.ar/mundountref/tags/podcast, https://untref.edu.ar/mundountref/un-brindis-y-un-podcast-para-celebrar-las-obras-completas-de-ruben-dario "
SCC 179,"https://untref.edu.ar/mundountref/podcast-comunidad-convergencia-digital-episodio-nueve-julia-montesoro, https://untref.edu.ar/mundountref/comunidad-aida-arrueta-podcast-enfermeria-voluntariado-contactos-estrechos"
SCC 180,"https://untref.edu.ar/muntref/es/noticias/nueva-edicion-de-la-noche-de-los-museos-en-muntref-inmigrantes/, https://untref.edu.ar/muntref/es/noticias/nuevo-vitral-de-luis-felipe-noe-en-muntref-inmigrantes-2/"
SCC 181,"https://untref.edu.ar/mundountref/tags/iiac, https://untref.edu.ar/mundountref/presentacion-del-archivo-iiac"
SCC 182,"https://untref.edu.ar/mundountref/programa-de-pasantias-y-practicas-pre-profesionales-para-alumnos, https://untref.edu.ar/instituto/iiac-instituto-de-investigacion-en-arte-y-cultura"
SCC 183,"https://untref.edu.ar/mundountref/donacion-mascaras-coronavirus, https://untref.edu.ar/mundountref/llamado-solidario-covid-19-barrio-ejercito-de-los-andes"
SCC 184,"https://untref.edu.ar/mundountref/tags/secundaria, https://untref.edu.ar/mundountref/tags/libro, https://untref.edu.ar/mundountref/ceg-exterior"
SCC 185,"https://untref.edu.ar/mundountref/el-novelista-frances-pascal-quignard-participa-de-la-serie-de-lecturas-frost, https://untref.edu.ar/sitios/mec/ss/frost/"
SCC 186,"https://untref.edu.ar/mundountref/leo-sujatovich-presenta-las-ilusiones-argentinas, https://untref.edu.ar/mundountref/untref-sonoro-presenta-a-leo-sujatovich"
SCC 187,"https://untref.edu.ar/mundountref/jornada-pensar-la-ciudad-buenos-aires-ceipsu, https://untref.edu.ar/mundountref/acto-colacion-diciembre-2018"
SCC 188,"https://untref.edu.ar/mundountref/tags/premios, https://untref.edu.ar/mundountref/un3-premios-festival-die-seriale-alemania, https://untref.edu.ar/mundountref/nueva-edicion-bim, https://untref.edu.ar/muntref/centro-de-arte-contemporaneo/, https://untref.edu.ar/mundountref/tags/un3, https://untref.edu.ar/mundountref/nuevas-producciones-audiovisuales, https://untref.edu.ar/mundountref/tony-un3, https://untref.edu.ar/mundountref/UN3-primera-película-festival-mar-del-plata, https://untref.edu.ar/mundountref/tags/xirgu, https://untref.edu.ar/mundountref/manantial-beat-tercera-fecha-xirgu, https://untref.edu.ar/mundountref/oiant-octubre-brasil-xirgu, https://untref.edu.ar/mundountref/tags/documental, https://untref.edu.ar/mundountref/doc-untref-instrumentos-antiguos, https://untref.edu.ar/mundountref/tags/videojuegos, https://untref.edu.ar/mundountref/catcha-untref-media-mip-junior, https://untref.edu.ar/mundountref/un3-nominado-para-los-premios-democracia"
SCC 189,"https://untref.edu.ar/comite-interdisciplinario-de-violencia-de-g%C3%A9nero, https://untref.edu.ar/carreras, https://untref.edu.ar/alumnos-de-posgrado, https://untref.edu.ar/carrera/administracion-y-gestion-de-politicas-sociales"
SCC 190,https://untref.edu.ar/untref-corre
SCC 191,"https://untref.edu.ar/sitios/enlaces/musica/, https://untref.edu.ar/sitios/enlaces/charlas-y-debates/"
SCC 192,"https://untref.edu.ar/muntref/eugenia-calvo_powerful-lessons-6/, https://untref.edu.ar/muntref/es/press"
SCC 193,"https://untref.edu.ar/muntref/es/noticias/max-de-esteban-e-ivan-gomez-gutierrez-protagonistas-de-las-inauguraciones-del-26-de-octubre-en-el-muntref-inmigrantes/, https://untref.edu.ar/muntref/es/ubicacion"
SCC 194,"https://untref.edu.ar/mundountref/salud-y-genero-las-asimetrias-a-la-hora-de-recibir-cuidados, https://untref.edu.ar/posgrado/especializacion-en-educacion-y-promocion-de-la-salud"
SCC 195,"https://untref.edu.ar/muntref/en/muestras/for-all-people-in-the-world, https://untref.edu.ar/muntref/en/autoridades-muntref, https://untref.edu.ar/muntref/en/ubicacion"
SCC 196,https://untref.edu.ar/muntref/fernando-farina_montaje-obra-hogar-dulce-hogar/
SCC 197,"https://untref.edu.ar/muntref/es/educacion/adolescentes/, https://untref.edu.ar/muntref/es/educacion/educadores/"
SCC 198,https://untref.edu.ar/muntref/es/noticias/max-de-esteban-e-ivan-gomez-gutierrez-protagonistas-de-las-nuevas-muestras-del-muntref-inmigrantes/
SCC 199,https://untref.edu.ar/muntref/es/archivo-de-muestras/a2024
SCC 200,"https://untref.edu.ar/mundountref/tags/untref-saludable, https://untref.edu.ar/mundountref/tags/tips"
SCC 201,"https://untref.edu.ar/mundountref/suspencion-actividades-hasta-20-marzo-2020, https://untref.edu.ar/mundountref/familia-deporte-y-salud-las-claves-de-la-10o-untref-corre"
SCC 202,"https://untref.edu.ar/mundountref/la-fraternidad-del-desierto-se-estrena-en-buenos-aires, https://untref.edu.ar/mundountref/tags/sociologia"
SCC 203,"https://untref.edu.ar/mundountref/tags/america-latina, https://untref.edu.ar/mundountref/proyecto-sikuriada-cultura-andina-musica-extencion"
SCC 204,"https://untref.edu.ar/mundountref/tags/cidem, https://untref.edu.ar/mundountref/programa-formacion-mandos-medios-cidem"
SCC 205,"https://untref.edu.ar/mundountref/tags/concierto, https://untref.edu.ar/mundountref/destacada-presentacion-de-hilda-herrera-en-caseros, https://untref.edu.ar/mundountref/galeria-macha-bloque-depresivo, https://untref.edu.ar/mundountref/muestra-musica-maestra-2018, https://untref.edu.ar/mundountref/tags/orquesta, https://untref.edu.ar/mundountref/sofia-viola-presento-a-mi-no-en-el-xirgu"
SCC 206,"https://untref.edu.ar/mundountref/charla-jozami-pedro-problemas-desafios-educacion-superior, https://untref.edu.ar/mundountref/estudiantes-secundaria-expountref"
SCC 207,"https://untref.edu.ar/sitios/mgaie/cursos-extracurriculares-en-estadistica-aplicada-mayo-2/, https://untref.edu.ar/sitios/mgaie/jornadas-sobre-herramientas-estadisticas-2018-mayo/"
SCC 208,https://untref.edu.ar/mundountref/la-untref-ofrece-cursos-de-verano
SCC 209,"https://untref.edu.ar/mundountref/tags/, https://untref.edu.ar/mundountref/tags/educacion-intercultural, https://untref.edu.ar/mundountref/tags/orientacion-vocacional-y-educativa, https://untref.edu.ar/mundountref/tags/maestria-en-escritura-creativa-trabajos, https://untref.edu.ar/mundountref/tags/ingenieria-de-sonido, https://untref.edu.ar/mundountref/tags/hibridos, https://untref.edu.ar/mundountref/conociendo-las-profundidades, https://untref.edu.ar/mundountref/tags/eventos, https://untref.edu.ar/mundountref/expountref-2018-estudiantes, https://untref.edu.ar/mundountref/tags/especializacion-en-estudios-indoamericanos, https://untref.edu.ar/mundountref/tags/carrera-tag-test"
SCC 210,"https://untref.edu.ar/muntref/es/archivo-de-muestras/a2016, https://untref.edu.ar/muntref/es/muestras/leandro-erlich, https://untref.edu.ar/muntref/es/archivo-de-muestras/a2018, https://untref.edu.ar/muntref/es/archivo-de-muestras/a2022, https://untref.edu.ar/muntref/es/muestras/soberania-de-la-percepcion, https://untref.edu.ar/muntref/es/muestras/coleccion-muntref-capitulo-ii"
SCC 211,"https://untref.edu.ar/muntref/es/noticias/muntref-recorridos-virtuales-unicos-en-la-region/, https://untref.edu.ar/muntref/es/muestras/del-mediterraneo-oriental-al-plata"
SCC 212,"https://untref.edu.ar/muntref/es/prensa, https://untref.edu.ar/muntref/es/muestras/ivan-gomez-gutierrez-la-caja-y-el-secreto, https://untref.edu.ar/muntref/es/centro-de-arte-contemporaneo/acerca-de-cac/, https://untref.edu.ar/muntref/es/museo-de-la-inmigracion, https://untref.edu.ar/muntref/es/noticias/la-app-museum-view-muntref-incorporo-nuevas-experiencias-inmersivas-3/"
SCC 213,"https://untref.edu.ar/sitios/gac/bienvenida-2/, https://untref.edu.ar/sitios/gac/tesis-de-grado-2/"
SCC 214,"https://untref.edu.ar/mundountref/tags/ceipsu, https://untref.edu.ar/mundountref/pensar-la-ciudad-buenos-aires-jornada"
SCC 215,"https://untref.edu.ar/mundountref/inauguracion-de-la-muestra-graciela-sacco-nada-esta-donde-se-cree, https://untref.edu.ar/muntrefcac@untref.edu.ar"
SCC 216,https://untref.edu.ar/mundountref/muntref-docuntref-arte
SCC 217,"https://untref.edu.ar/mundountref/confirmacion-inscripciones-2020, https://untref.edu.ar/mundountref/sancion-ley-provincial-psicomotricidad"
SCC 218,"https://untref.edu.ar/mundountref/tags/periodismo-documental, https://untref.edu.ar/mundountref/tags/fotografia, https://untref.edu.ar/mundountref/estreno-documentales-malvinas-cinear-canal-encuentro"
SCC 219,"https://untref.edu.ar/mundountref/entrega-de-diplomas-de-posgrado-2018, https://untref.edu.ar/mundountref/louta-estuvo-en-el-xirgu-espacio-untref"
SCC 220,https://untref.edu.ar/mundountref/charla-abierta-con-bill-orcutt
SCC 221,https://untref.edu.ar/events/iv-foro-internacional-narrativas-en-las-fronteras-los-nuevos-viejos-relatos-de-la-actualidad-4
SCC 222,"https://untref.edu.ar/mundountref/homenajes-quino, https://untref.edu.ar/mundountref/charla-vivo-streaming-estructura-social-latinoamerica"
SCC 223,"https://untref.edu.ar/mundountref/tags/charlas, https://untref.edu.ar/mundountref/encuentro-historia-periodismo-porteño-la-prensa, https://untref.edu.ar/mundountref/bienalsur-2021-encuentro-virtual, https://untref.edu.ar/mundountref/bienalsur-primera -quincena-agosto, https://untref.edu.ar/mundountref/50-anos-mayo-frances, https://untref.edu.ar/mundountref/charlas-virtuales-genero-diversidad-sexual, https://untref.edu.ar/mundountref/tags/celiv, https://untref.edu.ar/mundountref/carceles-argentinas-condiciones-hacinamiento, https://untref.edu.ar/mundountref/-ediciones-obra-antonio-gramsci, https://untref.edu.ar/mundountref/bill-orcutt-visito-la-universidad, https://untref.edu.ar/mundountref/ciclo-de-charlas-sociedad-y-pandemia, https://untref.edu.ar/mundountref/bienalsur-2021-quinto-encuentro"
SCC 224,"https://untref.edu.ar/mundountref/finalizo-primera-serie-encuentros-virtuales-hacia-bienalsur-2021, https://untref.edu.ar/mundountref/bienalsur-en-buenos-aires-tucuman-y-paris"
SCC 225,"https://untref.edu.ar/mundountref/tags/artes-del-circo, https://untref.edu.ar/mundountref/la-untref-lanza-una-formacion-internacional-y-gratuita-en-artes-del-circo, https://untref.edu.ar/mundountref/transmision-en-vivo-artes-de-circo"
SCC 226,"https://untref.edu.ar/muntref/es/muestras/imagenes-sudamericanas/, https://untref.edu.ar/muntref/es/muestras/imagenes-sudamericanas/formas-de-la-costa-1991/"
SCC 227,"https://untref.edu.ar/mundountref/feminismos-negros-y-marrones-cuando-la-etnia-y-el-genero-son-ejes-de-la-opresion, https://untref.edu.ar/mundountref/conocimiento-arte-ciencia"
SCC 228,"https://untref.edu.ar/muntref/es/muestras/coleccion-muntref-capitulo-ii/, https://untref.edu.ar/muntref/es/muestras/coleccion-muntref-capitulo-ii/01-plano-general-29/, https://untref.edu.ar/muntref/es/muestras/coleccion-muntref-capitulo-ii/35-carlos-sessano-1/"
SCC 229,"https://untref.edu.ar/mundountref/tags/ingenieria, https://untref.edu.ar/mundountref/tags/internacional, https://untref.edu.ar/mundountref/bienalsur-cierre-arabia-saudita, https://untref.edu.ar/mundountref/posgrados-2019-estudios-internacionales, https://untref.edu.ar/mundountref/posgrados-2019-educacion, https://untref.edu.ar/mundountref/innovación-energía-nuclear- viabilidad-económica, https://untref.edu.ar/mundountref/seminario-rumania-minorias, https://untref.edu.ar/mundountref/precariedad-estres-trabajo, https://untref.edu.ar/mundountref/asia-india-argentina-economia, https://untref.edu.ar/mundountref/bienalsur-en-tucuman, https://untref.edu.ar/mundountref/estreno-un3-feriados, https://untref.edu.ar/mundountref/la-maestria-en-escritura-creativa-en-bolivia, https://untref.edu.ar/mundountref/festival-cine-epa, https://untref.edu.ar/mundountref/nestor-barraza-congreso-internacional-software, https://untref.edu.ar/mundountref/convocatoria-para-las-becas-de-estimulo-a-las-vocaciones-cientificas"
SCC 230,"https://untref.edu.ar/mundountref/bienalsur-noviembre-arabia-saudita-buenos-aires-latinoamerica, https://untref.edu.ar/mundountref/bienalsur-entre-latinoamerica-y-europa"
SCC 231,"https://untref.edu.ar/mundountref/violencia-de-genero-y-pandemia, https://untref.edu.ar/sitios/ceipsu"
SCC 232,https://untref.edu.ar/mundountref/la-mirada-de-garcia-canclini-sobre-la-bienalsur
SCC 233,"https://untref.edu.ar/mundountref/untref-rugby-campeon, https://untref.edu.ar/mundountref/untref-voley-inicia-pretemporada-2017-2018"
SCC 234,"https://untref.edu.ar/mundountref/ajedrez-copa-ushuaia, https://untref.edu.ar/mundountref/tags/torneos"
SCC 235,https://untref.edu.ar/mundountref/fiesta-del-deporte-premios
SCC 236,https://untref.edu.ar/mundountref/oiant-reconstruccion-instrumentos-catedral-santiago-compostela
SCC 237,https://untref.edu.ar/muntref/en/muestras/noe-2/
SCC 238,"https://untref.edu.ar/sitios/gac/realizamos-una-charla-sobre-cine-y-literatura-en-el-12-festival-enlaces/, https://untref.edu.ar/sitios/gac/redes-y-cultura-colaborativa-la-construccion-colectiva-como-marca-de-identidad/"
SCC 239,https://untref.edu.ar/mundountref/24-Marzo-Plantamos-memoria-UNTREF
SCC 240,"https://untref.edu.ar/mundountref/tags/artes-electronicas, https://untref.edu.ar/mundountref/seminario-interfaz-tania-aedo, https://untref.edu.ar/mundountref/tags/mucho-mas-untref"
SCC 241,https://untref.edu.ar/events/i-congreso-internacional-sudamericano-de-historia-del-arte-xvi-jornadas-de-historia-del-arte-1
SCC 242,"https://untref.edu.ar/mundountref/honoris-causa-para-agnes-heller, https://untref.edu.ar/mundountref/agnes-heller-en-la-argentina"
SCC 243,https://untref.edu.ar/sitios/mgaie/cursos-extracurriculares/
SCC 244,"https://untref.edu.ar/mundountref/tags/proyectos, https://untref.edu.ar/mundountref/proyecto-bazu-ganador-untref-emprende"
SCC 245,https://untref.edu.ar/mundountref/el-curso-de-ingreso-sera-intensivo-y-abarcara-los-meses-de-febrero-y-marzo
SCC 246,"https://untref.edu.ar/mundountref/untref-voley-segundo-lugar-liga, https://untref.edu.ar/mundountref/pandemia-cooperacion-francia-argentina-ciencia-cultura"
